                            Pressao(psi)                 Vazao c/ skin (STB/day)                 Vazao s/ skin (STB/day)
                                    3000                                       0                                       0
                                    2950                                 8.17921                                 24.7743
                                    2900                                 16.3584                                 49.5487
                                    2850                                 24.5376                                  74.323
                                    2800                                 32.7168                                 99.0973
                                    2750                                 40.8961                                 123.872
                                    2700                                 49.0753                                 148.646
                                    2650                                 57.2545                                  173.42
                                    2600                                 65.4337                                 198.195
                                    2550                                 73.6129                                 222.969
                                    2500                                 81.7921                                 247.743
